"id","title","price","audit_status","audit_reason","link"
"1686489533","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1686489533"
"1686491508","masa sandalye
","1 TL","flagged","Ticari Satıcı: ""renk seçenekleri""","https://www.letgo.com/item/masa-sandalye-iid-1686491508"
"1709771177","masa sandalye
","3 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/masa-sandalye-iid-1709771177"
"1709548841","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1709548841"
"1708888827","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1708888827"
"1675964792","Masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1675964792"
"1682800223","Masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1682800223"
"1712560143","MASA SANDALYE YEMEK TAKIMI
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-yemek-takimi-iid-1712560143"
"1686491728","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1686491728"
"1686491569","masa sandalye
","1 TL","flagged","Ticari Satıcı: ""renk seçenekleri""","https://www.letgo.com/item/masa-sandalye-iid-1686491569"
"1656253037","Masa sandalye takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-takm-iid-1656253037"
"1703002278","sağlam Bar tarzı masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/saglam-bar-tarz-masa-sandalye-iid-1703002278"
"1708070714","masa sandalye takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-takm-iid-1708070714"
"1708077565","masa sandalye takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-takm-iid-1708077565"
"1707848084","toptan masa sandalye
","1 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/toptan-masa-sandalye-iid-1707848084"
"1720284320","köşe koltuk ve masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/kose-koltuk-ve-masa-sandalye-iid-1720284320"
"1707506773","bistro masa sandalye modelleri
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/bistro-masa-sandalye-modelleri-iid-1707506773"
"1722228395","fincan mermer masa sandalye takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/fincan-mermer-masa-sandalye-takm-iid-1722228395"
"1709136210","plastik rattan masa sandalye takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/plastik-rattan-masa-sandalye-takm-iid-1709136210"
"1718637327","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1718637327"
"1709222184","okey masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/okey-masa-sandalye-iid-1709222184"
"1708858534","masa sandalye takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-takm-iid-1708858534"
"1722435447","karen sandalye mdf masa takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/karen-sandalye-mdf-masa-takm-iid-1722435447"
"1723595953","organizasyon Masa sandalye","199 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/organizasyon-masa-sandalye-iid-1723595953"
"1723860444","MONAKO SANDALYE MERMER MASA MODELİ
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/monako-sandalye-mermer-masa-modeli-iid-1723860444"
"1709346323","mermer masa sandalye takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/mermer-masa-sandalye-takm-iid-1709346323"
"1722073582","okey masa sandalye takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/okey-masa-sandalye-takm-iid-1722073582"
"1711652831","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1711652831"
"1686631521","İmalattan Toplantı Odası Masa Ve Sandalye Takımı
","2 TL","flagged","Ticari Satıcı: ""üretici""","https://www.letgo.com/item/imalattan-toplant-odas-masa-ve-sandalye-takm-iid-1686631521"
"1656016487","Masa sandalye masa
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-masa-iid-1656016487"
"1668221913","Masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1668221913"
"1722851563","ptt masa sandalye
","5 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/ptt-masa-sandalye-iid-1722851563"
"1723749902","polo sandalye mermer masa modeli
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/polo-sandalye-mermer-masa-modeli-iid-1723749902"
"1711506358","Tertemiz Masa ve Sandalye Takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/tertemiz-masa-ve-sandalye-takm-iid-1711506358"
"1656250170","Masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1656250170"
"1719734354","güzellik merkezi masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/guzellik-merkezi-masa-sandalye-iid-1719734354"
"837757243","Masa sandalye tak?m kahve
","1 TL","flagged","Yasaklı kelime: ""satılık""","https://www.letgo.com/item/masa-sandalye-takm-kahve-iid-837757243"
"1723365952","masa sandalye
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/masa-sandalye-iid-1723365952"
"1724025026","SEVGİ PERDE
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/sevgi-perde-iid-1724025026"
"1723725063","fırsat!! taşınıyorum acil satılık açık dolap","30 TL","flagged","Yasaklı kelime: ""satılık""","https://www.letgo.com/item/frsat-tasnyorum-acil-satlk-ack-dolap-iid-1723725063"
"1654300588","Bilgisayar masası","500 TL","flagged","Yasaklı kelime: ""satılık""","https://www.letgo.com/item/bilgisayar-masas-iid-1654300588"
"1723579769","ÖĞRENCİYE ÜCRETSİZ BUZDOLABI","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/ogrenciye-ucretsiz-buzdolabi-iid-1723579769"
"1724026393","çalışır çamaşır makinesi
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/calsr-camasr-makinesi-iid-1724026393"
"1721529076","toptan 50 parça sorunsuz modelli çamaşır makinesi","10 TL","flagged","Ticari Satıcı: ""toptan""","https://www.letgo.com/item/toptan-50-parca-sorunsuz-modelli-camasr-makinesi-iid-1721529076"
